frame_num,is_drowsy,left_eye_closed,right_eye_closed,continuous_time,error_code
188,-1,False,False,0.0,LOW_FACE_CONFIDENCE
189,-1,False,False,0.0,LOW_FACE_CONFIDENCE
190,-1,False,False,0.0,LOW_FACE_CONFIDENCE
191,-1,False,False,0.0,LOW_FACE_CONFIDENCE
192,-1,False,False,0.0,LOW_FACE_CONFIDENCE
193,-1,False,False,0.0,LOW_FACE_CONFIDENCE
194,-1,False,False,0.0,LOW_FACE_CONFIDENCE
195,-1,False,False,0.0,LOW_FACE_CONFIDENCE
196,-1,False,False,0.0,LOW_FACE_CONFIDENCE
197,-1,False,False,0.0,LOW_FACE_CONFIDENCE
198,-1,False,False,0.0,LOW_FACE_CONFIDENCE
199,-1,False,False,0.0,LOW_FACE_CONFIDENCE
200,-1,False,False,0.0,LOW_FACE_CONFIDENCE
201,-1,False,False,0.0,LOW_FACE_CONFIDENCE
202,-1,False,False,0.0,LOW_FACE_CONFIDENCE
203,-1,False,False,0.0,LOW_FACE_CONFIDENCE
204,-1,False,False,0.0,LOW_FACE_CONFIDENCE
205,-1,False,False,0.0,LOW_FACE_CONFIDENCE
206,-1,False,False,0.0,LOW_FACE_CONFIDENCE
207,-1,False,False,0.0,LOW_FACE_CONFIDENCE
208,-1,False,False,0.0,LOW_FACE_CONFIDENCE
209,-1,False,False,0.0,LOW_FACE_CONFIDENCE
210,-1,False,False,0.0,LOW_FACE_CONFIDENCE
211,-1,False,False,0.0,LOW_FACE_CONFIDENCE
212,-1,False,False,0.0,LOW_FACE_CONFIDENCE
213,-1,False,False,0.0,LOW_FACE_CONFIDENCE
214,-1,False,False,0.0,LOW_FACE_CONFIDENCE
215,-1,False,False,0.0,LOW_FACE_CONFIDENCE
216,-1,False,False,0.0,LOW_FACE_CONFIDENCE
217,-1,False,False,0.0,LOW_FACE_CONFIDENCE
218,-1,False,False,0.0,LOW_FACE_CONFIDENCE
219,-1,False,False,0.0,LOW_FACE_CONFIDENCE
220,-1,False,False,0.0,LOW_FACE_CONFIDENCE
221,-1,False,False,0.0,LOW_FACE_CONFIDENCE
222,-1,False,False,0.0,LOW_FACE_CONFIDENCE
223,-1,False,False,0.0,LOW_FACE_CONFIDENCE
224,-1,False,False,0.0,LOW_FACE_CONFIDENCE
225,-1,False,False,0.0,LOW_FACE_CONFIDENCE
226,-1,False,False,0.0,LOW_FACE_CONFIDENCE
227,-1,False,False,0.0,LOW_FACE_CONFIDENCE
228,-1,False,False,0.0,LOW_FACE_CONFIDENCE
